id_region,region,id_pais
1,Tarapacá,41
2,Antofagasta,41
3,Atacama,41
4,Coquimbo,41
5,Valparaíso,41
6,Libertador General Bernardo O'Higgins,41
7,Maule,41
8,Biobío,41
9,La Araucanía,41
10,Los Lagos,41
11,Aysén del General Carlos Ibáñez del Campo,41
12,Magallanes y de la Antártica Chilena,41
13,Metropolitana de Santiago,41
14,Los Ríos,41
15,Arica y Parinacota,41
